Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
 Friday  the  13th  Part  IV:  The  Final  Chapter 	87298	-6	-4	74881211.35	3	1984				-6	-7	-8	-5	-5	-5
Ghostbusters	87332	-6	-4	662134141.8	1	1984				-6	-7	-8	-5	-5	-5
Gremlins	87363	-6	-4	336408053.8	1	1984				-6	-7	-8	-5	-5	-5
 Indiana  Jones  and  the  Temple  of  Doom 	87469	-6	-4	756239800.2	0	1984				-6	-7	-8	-5	-5	-5
 The  Karate  Kid 	87538	-6	-4	815297083.5	3	1984				-6	-7	-8	-5	-5	-5
 A  nightmare  on  Elm  Street 	87800	-6	-4	267298404.3	2	1984				-6	-7	-8	-5	-5	-5
 Police  Academy 	87928	-6	-4	184357467.6	3	1984				-6	-7	-8	-5	-5	-5
 Repo  Man 	87995	-6	-4	5222018.893	2	1984				-6	-7	-8	-5	-5	-5
Splash	88161	-6	-4	142128591.1	1	1984				-6	-7	-8	-5	-5	-5
 Star  Trek  III:  The  Search  for  Spock 	88170	-6	-4	197528549.4	1	1984				-6	-7	-8	-5	-5	-5
 The  Terminator 	88247	-6	-4	177137769.5	2	1984				-6	-7	-8	-5	-5	-5
 Back  to  the  Future 	88763	-6	-4	841863123.5	1	1985				-6	-7	-8	-5	-5	-5
Brazil	88846	-6	-4	21775254	3	1985				-6	-7	-8	-5	-5	-5
 The  Color  Purple 	88939	-6	-4	205248443.3	3	1985				-6	-7	-8	-5	-5	-5
Commando	88944	-6	-4	76919568.13	1	1985				-6	-7	-8	-5	-5	-5
 Day  of  the  Dead 	88993	-6	-4	-12	0	1985				-6	-7	-8	-5	-5	-5
Ladyhawke	89457	-6	-4	40352424.69	0	1985				-6	-7	-8	-5	-5	-5
