person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Stephen  King 	2.125	 Bryan  Singer 	1.4761904761904763	 ['  Apt    Pupil  '] 	1	1.0
 Stephen  King 	2.125	 Tom  DeSanto 	2.25	 ['  Apt    Pupil  '] 	1	1.0
 Stephen  King 	2.125	 Tony  Gilroy 	2.285714285714286	 ['  Dolores    Claiborne  '] 	1	3.0
 Stephen  King 	2.125	 Kimberly  Peirce 	3.0	['Carrie']	1	3.0
 Stephen  King 	2.125	 Lawrence  D.  Cohen 	3	['Carrie']	1	3.0
 Stephen  King 	2.125	 Roberto  Aguirre-Sacasa 	3	['Carrie']	1	3.0
 Stephen  King 	2.125	 Frank  Darabont 	1.6666666666666667	 ['  The    Green    Mile  ',  '  The    Mist  '] 	2	2.0
 Stephen  King 	2.125	 Taylor  Hackford 	3.0	 ['  Dolores    Claiborne  '] 	1	3.0
 Stephen  King 	2.125	 William  Goldman 	0.5	['Dreamcatcher']	1	0.0
 Stephen  King 	2.125	 Lawrence  Kasdan 	0.5	['Dreamcatcher']	1	0.0
 Stephen  King 	2.125	 Mark  Pavia 	3.0	 ['  The    Night    Flier  '] 	1	3.0
 Stephen  King 	2.125	 Jack  O'Donnell 	3.0	 ['  The    Night    Flier  '] 	1	3.0
 Roland  Emmerich 	2.5	 Harald  Kloser 	1.3333333333333333	 ['2012',  '  White    House    Down  '] 	2	1.5
 Roland  Emmerich 	2.5	 Reid  Carolin 	2.6666666666666665	 ['  White    House    Down  '] 	1	2.0
 Roland  Emmerich 	2.5	 Laeta  Kalogridis 	1.0	 ['  White    House    Down  '] 	1	2.0
 Roland  Emmerich 	2.5	 James  Vanderbilt 	1.875	 ['  White    House    Down  '] 	1	2.0
 Roland  Emmerich 	2.5	 Dean  Devlin 	2.7142857142857144	 ['  The    Patriot  ',  'Godzilla',  '  Independence    Day  '] 	3	3.0
 Roland  Emmerich 	2.5	 Robert  Rodat 	2.25	 ['  The    Patriot  '] 	1	3.0
 Roland  Emmerich 	2.5	 Ted  Elliott 	1.5333333333333334	['Godzilla']	1	3.0
 Roland  Emmerich 	2.5	 Terry  Rossio 	1.5333333333333334	['Godzilla']	1	3.0
 Roland  Emmerich 	2.5	 Jeffrey  Nachmanoff 	1.5	 ['  The    Day    After    Tomorrow  '] 	1	3.0
 Harald  Kloser 	1.3333333333333333	 Reid  Carolin 	2.6666666666666665	 ['  White    House    Down  '] 	1	2.0
 Harald  Kloser 	1.3333333333333333	 Laeta  Kalogridis 	1.0	 ['  White    House    Down  '] 	1	2.0
 Harald  Kloser 	1.3333333333333333	 James  Vanderbilt 	1.875	 ['  White    House    Down  '] 	1	2.0
 Karen  McCullah 	2.625	 Kirsten  Smith 	2.6666666666666665	 ['  Legally    Blonde  ',  '  The    House    Bunny  ',  '  10    Things    I    Hate    About    You  ',  "  She's    the    Man  ",  '  The    Ugly    Truth  ',  '  Ella    Enchanted  '] 	6	2.6666666666666665
 Karen  McCullah 	2.625	 William  Shakespeare 	2.875	 ['  10    Things    I    Hate    About    You  '] 	1	3.0
 Karen  McCullah 	2.625	 Adam  Sandler 	2.1666666666666674	 ['  The    House    Bunny  '] 	1	3.0
 Karen  McCullah 	2.625	 Allen  Covert 	2.25	 ['  The    House    Bunny  '] 	1	3.0
 Karen  McCullah 	2.625	 Laurie  Craig 	3.0	 ['  Ella    Enchanted  '] 	1	3.0
 Karen  McCullah 	2.625	 Jennifer  Heath 	3	 ['  Ella    Enchanted  '] 	1	3.0
 Karen  McCullah 	2.625	 Michele  J.  Wolff 	3	 ['  Ella    Enchanted  '] 	1	3.0
 Karen  McCullah 	2.625	 Gail  Carson  Levine 	3	 ['  Ella    Enchanted  '] 	1	3.0
 Karen  McCullah 	2.625	 Fred  Wolf 	2.75	 ['  The    House    Bunny  '] 	1	3.0
 Karen  McCullah 	2.625	 Amanda  Brown 	3	 ['  Legally    Blonde  '] 	1	3.0
 Karen  McCullah 	2.625	 Ewan  Leslie 	2.3333333333333335	 ["  She's    the    Man  "] 	1	2.0
 Karen  McCullah 	2.625	 Nicole  Eastman 	2	 ['  The    Ugly    Truth  '] 	1	2.0
 Kirsten  Smith 	2.6666666666666665	 William  Shakespeare 	2.875	 ['  10    Things    I    Hate    About    You  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Chris  Miller 	2.5	 ['  Whip    It  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Adam  Sandler 	2.1666666666666674	 ['  The    House    Bunny  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Allen  Covert 	2.25	 ['  The    House    Bunny  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Laurie  Craig 	3.0	 ['  Ella    Enchanted  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Jennifer  Heath 	3	 ['  Ella    Enchanted  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Michele  J.  Wolff 	3	 ['  Ella    Enchanted  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Gail  Carson  Levine 	3	 ['  Ella    Enchanted  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Fred  Wolf 	2.75	 ['  The    House    Bunny  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Shauna  Cross 	3.0	 ['  Whip    It  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Amanda  Brown 	3	 ['  Legally    Blonde  '] 	1	3.0
 Kirsten  Smith 	2.6666666666666665	 Ewan  Leslie 	2.3333333333333335	 ["  She's    the    Man  "] 	1	2.0
 Kirsten  Smith 	2.6666666666666665	 Nicole  Eastman 	2	 ['  The    Ugly    Truth  '] 	1	2.0
 William  Shakespeare 	2.875	 Michael  Hoffman 	2.25	 ["  A    Midsummer    Night's    Dream  "] 	1	2.0
 William  Shakespeare 	2.875	 Julie  Taymor 	2.888888888888889	 ['  The    Tempest  ',  'Titus'] 	2	3.0
 William  Shakespeare 	2.875	 Joss  Whedon 	2.466666666666667	 ['  Much    Ado    About    Nothing  '] 	1	3.0
 William  Shakespeare 	2.875	 Mark  Burton 	1.7142857142857142	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Baz  Luhrmann 	2.75	 ['  Romeo    +    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Craig  Pearce 	2.5	 ['  Romeo    +    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Rob  Sprackling 	3	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 John  R.  Smith 	3	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Andy  Riley 	3	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Kevin  Cecil 	3	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Kelly  Asbury 	2.25	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Steve  Hamilton  Shaw 	3.0	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Emily  Cook 	3	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Kathy  Greenberg 	3	 ['  Gnomeo    &    Juliet  '] 	1	3.0
 William  Shakespeare 	2.875	 Cory  Krueckeberg 	3.0	 ['  Were    the    World    Mine  '] 	1	3.0
 William  Shakespeare 	2.875	 Tom  Gustafson 	3.0	 ['  Were    the    World    Mine  '] 	1	3.0
 Dodie  Smith 	3.0	 John  Hughes 	2.6	 ['  101    Dalmatians  '] 	1	3.0
 Dodie  Smith 	3.0	 Kristen  Buckley 	3.0	 ['  102    Dalmatians  '] 	1	3.0
 Dodie  Smith 	3.0	 Brian  Regan 	3.0	 ['  102    Dalmatians  '] 	1	3.0
 Dodie  Smith 	3.0	 Bob  Tzudiker 	2.25	 ['  102    Dalmatians  '] 	1	3.0
 Dodie  Smith 	3.0	 Noni  White 	2.25	 ['  102    Dalmatians  '] 	1	3.0
 Dodie  Smith 	3.0	 Heidi  Thomas 	3	 ['  I    Capture    the    Castle  '] 	1	3.0
 John  Hughes 	2.6	 Samuel  W.  Taylor 	2	['Flubber']	1	2.0
 John  Hughes 	2.6	 Bill  Walsh 	2	['Flubber']	1	2.0
 John  Hughes 	2.6	 Kevin  Wade 	3	 ['  Maid    in    Manhattan  '] 	1	3.0
 Kristen  Buckley 	3.0	 Brian  Regan 	3.0	 ['  102    Dalmatians  ',  '  How    to    Lose    a    Guy    in    10    Days  '] 	2	3.0
 Kristen  Buckley 	3.0	 Bob  Tzudiker 	2.25	 ['  102    Dalmatians  '] 	1	3.0
 Kristen  Buckley 	3.0	 Noni  White 	2.25	 ['  102    Dalmatians  '] 	1	3.0
 Kristen  Buckley 	3.0	 Burr  Steers 	2.2	 ['  How    to    Lose    a    Guy    in    10    Days  '] 	1	3.0
 Kristen  Buckley 	3.0	 Michele  Alexander 	3	 ['  How    to    Lose    a    Guy    in    10    Days  '] 	1	3.0
 Kristen  Buckley 	3.0	 Jeannie  Long 	3	 ['  How    to    Lose    a    Guy    in    10    Days  '] 	1	3.0
 Brian  Regan 	3.0	 Bob  Tzudiker 	2.25	 ['  102    Dalmatians  '] 	1	3.0
 Brian  Regan 	3.0	 Noni  White 	2.25	 ['  102    Dalmatians  '] 	1	3.0
 Brian  Regan 	3.0	 Burr  Steers 	2.2	 ['  How    to    Lose    a    Guy    in    10    Days  '] 	1	3.0
 Brian  Regan 	3.0	 Michele  Alexander 	3	 ['  How    to    Lose    a    Guy    in    10    Days  '] 	1	3.0
 Brian  Regan 	3.0	 Jeannie  Long 	3	 ['  How    to    Lose    a    Guy    in    10    Days  '] 	1	3.0
 Bob  Tzudiker 	2.25	 Noni  White 	2.25	 ['  102    Dalmatians  ',  'Anastasia',  'Tarzan',  '  The    Hunchback    of    Notre    Dame  '] 	4	2.25
 Bob  Tzudiker 	2.25	 Geefwee  Boedoe 	2.0	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Susan  Gauthier 	3	['Anastasia']	1	3.0
 Bob  Tzudiker 	2.25	 Bruce  Graham 	3	['Anastasia']	1	3.0
 Bob  Tzudiker 	2.25	 Eric  Tuchman 	3	['Anastasia']	1	3.0
 Bob  Tzudiker 	2.25	 Gary  Goldman 	2.3333333333333335	['Anastasia']	1	3.0
 Bob  Tzudiker 	2.25	 Tab  Murphy 	1.3333333333333333	 ['Tarzan',  '  The    Hunchback    of    Notre    Dame  '] 	2	1.5
 Bob  Tzudiker 	2.25	 Kirk  Wise 	1.0	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Gary  Trousdale 	1.0	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Don  Hall 	1.7142857142857142	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 Brenda  Chapman 	2.5	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Irene  Mecchi 	2.5	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Chris  Buck 	2.75	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 Kelly  Wightman 	2.0	 ['Tarzan',  '  The    Hunchback    of    Notre    Dame  '] 	2	1.5
 Bob  Tzudiker 	2.25	 John  Ramirez 	2.5	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 Jeff  Snow 	2.4	 ['Tarzan',  '  The    Hunchback    of    Notre    Dame  '] 	2	1.5
 Bob  Tzudiker 	2.25	 Kirk  Hanson 	2.0	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Francis  Glebas 	2.3333333333333335	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Mark  Kennedy 	2.8	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 Don  Dougherty 	1.6666666666666667	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 John  Sanford 	2.5	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 John  Norton 	2.5	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 Jonathan  Roberts 	2.0	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Edgar  Rice  Burroughs 	2.5	['Tarzan']	1	2.0
 Bob  Tzudiker 	2.25	 Victor  Hugo 	2.0	 ['  The    Hunchback    of    Notre    Dame  '] 	1	1.0
 Bob  Tzudiker 	2.25	 Stephen  J.  Anderson 	1.1666666666666667	['Tarzan']	1	2.0
