Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
 The Diary of a Teenage Girl 	3172532	2000000	1477002	2279959	3	2015				0.666666667	0.719671081	-5	-5	-5	-5	Drama
 The End of the Tour 	3416744	-5	3002883	3114343	1	2015	" [['Donald Margulies', 'm'], ['David Lipsky', 'm']] "	" [['James Ponsoldt', 'm']] "	" [['James Dahl', 'm'], ['Matt DeRoss', 'm'], ['Paul Green', 'm'], ['David Kanter', 'm'], ['Louise Lovegrove', 'NULL'], ['Mark C. Manuel', 'm'], ['Donald Margulies', 'm'], [""""Ted O'Neal"""", 'm']] "	0.666666667	0.088862906	0	0	0	0	Drama
 Legally Blonde 	250494	23918258.34	128219705.1	188434995.4	3	2001	" [['Amanda Brown', 'f'], ['Karen McCullah', 'f'], ['Kirsten Smith', 'f']] "	" [['Robert Luketic', 'm']] "	" [['Ric Kidney', 'NULL'], ['Christian McLaughlin', 'NULL'], ['David Nicksay', 'm'], ['Marc Platt', 'm']] "	0.647058824	0.721480583	1	0	0	0.375	Comedy
 Jane Eyre 	1229822	-6	-4	36515580	3	2011	" [['Charlotte Bronte', 'f'], ['Moira Buffini', 'f']] "	" [['Cary Joji Fukunaga', 'm']] "	" [['Mairi Bett', 'NULL'], ['Peter Hampden', 'm'], ['Christine Langan', 'f'], ['Alison Owen', 'f'], ['Paul Trijbits', 'm'], ['Faye Ward', 'NULL']] "	0.642857143	0.534844364	1	0	0.333333333	0.444444444	&&&&
 Love & Basketball 	199725	-6	-4	42895399	3	2000	" [['Gina Prince-Bythewood', 'f']] "	" [['Gina Prince-Bythewood', 'f']] "	" [['Andrew Z. Davis', 'm'], ['Cynthia Guidry', 'NULL'], ['Sam Kitt', 'm'], ['Spike Lee', 'm'], ['Jay Stern', 'NULL']] "	0.636363636	0.569610022	1	1	0	0.285714286	&&&&
 An Education 	1174732	8224362.9	13789420.82	32516648.25	3	2009	" [['Lynn Barber', 'f'], ['Nick Hornby', 'm']] "	" [['Lone Scherfig', 'f']] "	" [['Finola Dwyer', 'f'], ['Douglas Hansen', 'm'], ['Nick Hornby', 'm'], ['Wendy Japhet', 'f'], ['Jamie Laurenson', 'm'], ['Amanda Posey', 'f'], ['James D. Stern', 'm'], ['David M. Thompson', 'm']] "	0.636363636	0.694888954	0.5	1	0.375	0.454545455	Drama
Philomena	2431286	12155252.16	38197858.64	100243748.7	3	2013				0.636363636	0.582766178	-5	-5	-5	-5	Drama
 The Final Girls 	2118624	-6	-4	-20	3	2015				0.636363636	0.747811747	-5	-5	-5	-5	&&&&
 28 Days 	191754	58994054.68	50811051.09	85148961.81	3	2000	" [['Susannah Grant', 'f']] "	" [['Betty Thomas', 'f']] "	" [['Celia D. Costas', 'f'], ['Jenno Topping', 'f']] "	0.625	0.709234609	1	1	1	1	Comedy
 Something's Gotta Give 	337741	103004899.2	-15.45073488	343373580.9	3	2003	" [['Nancy Meyers', 'f']] "	" [['Nancy Meyers', 'f']] "	" [['Bruce A. Block', 'm'], ['Suzanne McNeill Farwell', 'f'], ['Nancy Meyers', 'f']] "	0.625	0.511055434	1	1	0.666666667	0.8	Romantic Comedy
