person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Sylvester  Stallone 	1.5	 Matthew  O'Toole 	2.0	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Sylvester  Stallone 	1.5	 Lonnie  Ramati 	2.125	 ['Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	3	1.6666666666666667
 Avi  Lerner 	1.9523809523809523	 Kevin  King  Templeton 	1.3333333333333333	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Avi  Lerner 	1.9523809523809523	 Les  Weldon 	1.8333333333333333	 ['  Conan    the    Barbarian  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables  ',  '  The    Legend    of    Hercules  ',  '  The    Expendables    2  '] 	6	1.8333333333333333
 Avi  Lerner 	1.9523809523809523	 Trevor  Short 	2.0	 ["  Brooklyn's    Finest  ",  '  Conan    the    Barbarian  ',  'Homefront',  '  Olympus    Has    Fallen  ',  '  Lonely    Hearts  ',  '  Texas    Chainsaw    3D  ',  '  The    Big    Wedding  ',  '  The    Expendables    3  ',  '  The    Mechanic  ',  '  The    Bad    Lieutenant:    Port    of    Call    -    New    Orleans  ',  '  King    of    California  ',  'Lovelace',  '  Before    I    Go    to    Sleep  ',  '  88    Minutes  ',  '  Mad    Money  ',  '  The    Expendables  ',  '  The    Legend    of    Hercules  ',  '  Black    Dahlia  ',  '  The    Paperboy  ',  '  The    Expendables    2  '] 	20	2.0
 Avi  Lerner 	1.9523809523809523	 John  Thompson 	1.7777777777777777	 ["  Brooklyn's    Finest  ",  'Homefront',  '  Olympus    Has    Fallen  ',  '  Lonely    Hearts  ',  '  Texas    Chainsaw    3D  ',  '  The    Big    Wedding  ',  '  The    Expendables    3  ',  '  The    Mechanic  ',  '  The    Bad    Lieutenant:    Port    of    Call    -    New    Orleans  ',  '  King    of    California  ',  'Lovelace',  '  Killing    Season  ',  '  88    Minutes  ',  '  The    Expendables  ',  '  The    Legend    of    Hercules  ',  '  Black    Dahlia  ',  '  The    Paperboy  ',  '  The    Expendables    2  '] 	18	1.7777777777777777
 Avi  Lerner 	1.9523809523809523	 Matthew  O'Toole 	2.0	 ['Homefront',  '  The    Expendables    3  ',  '  The    Big    Wedding  ',  '  Before    I    Go    to    Sleep  ',  '  The    Expendables  ',  '  The    Expendables    2  '] 	6	2.0
 Avi  Lerner 	1.9523809523809523	 Lonnie  Ramati 	2.125	 ['Homefront',  '  Olympus    Has    Fallen  ',  '  The    Expendables    3  ',  '  The    Expendables    2  ',  '  Before    I    Go    to    Sleep  ',  '  The    Legend    of    Hercules  ',  '  The    Paperboy  ',  'Lovelace'] 	8	2.125
 Kevin  King  Templeton 	1.3333333333333333	 Les  Weldon 	1.8333333333333333	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Kevin  King  Templeton 	1.3333333333333333	 Trevor  Short 	2.0	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Kevin  King  Templeton 	1.3333333333333333	 John  Thompson 	1.7777777777777777	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Kevin  King  Templeton 	1.3333333333333333	 Matthew  O'Toole 	2.0	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Kevin  King  Templeton 	1.3333333333333333	 Lonnie  Ramati 	2.125	 ['Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	3	1.6666666666666667
 Les  Weldon 	1.8333333333333333	 Trevor  Short 	2.0	 ['  Conan    the    Barbarian  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables  ',  '  The    Legend    of    Hercules  ',  '  The    Expendables    2  '] 	6	1.8333333333333333
 Les  Weldon 	1.8333333333333333	 John  Thompson 	1.7777777777777777	 ['Homefront',  '  The    Expendables    3  ',  '  The    Expendables  ',  '  The    Legend    of    Hercules  ',  '  The    Expendables    2  '] 	5	1.6
 Les  Weldon 	1.8333333333333333	 Matthew  O'Toole 	2.0	 ['  The    Expendables  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.5
 Les  Weldon 	1.8333333333333333	 Lonnie  Ramati 	2.125	 ['  The    Legend    of    Hercules  ',  'Homefront',  '  The    Expendables    3  ',  '  The    Expendables    2  '] 	4	1.75
 Trevor  Short 	2.0	 John  Thompson 	1.7777777777777777	 ["  Brooklyn's    Finest  ",  'Homefront',  '  Olympus    Has    Fallen  ',  '  Lonely    Hearts  ',  '  Texas    Chainsaw    3D  ',  '  The    Big    Wedding  ',  '  The    Expendables    3  ',  '  The    Mechanic  ',  '  The    Bad    Lieutenant:    Port    of    Call    -    New    Orleans  ',  '  King    of    California  ',  'Lovelace',  '  88    Minutes  ',  '  The    Expendables  ',  '  The    Legend    of    Hercules  ',  '  Black    Dahlia  ',  '  The    Paperboy  ',  '  The    Expendables    2  '] 	17	1.8235294117647058
