person1	 person1  average 	person2	 person  2  average 	 shared  movies 	 number  of  shared  movies 	 collaboration  average 
 Michael  De  Luca 	1.793103448275862	 Steven  Brill 	2.1666666666666665	 ['  Little    Nicky  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Bradley  Cramp 	2.5	['S1m0ne']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Irwin  Allen 	3	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Stephen  Hopkins 	3.0	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Carla  Fry 	2.3333333333333335	 ['  Lost    in    Space  ',  '  The    Long    Kiss    Goodnight  '] 	2	2.0
 Michael  De  Luca 	1.793103448275862	 Tim  Hampton 	3	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Michael  Ilitch  Jr. 	2.6	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Mark  W.  Koch 	3	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Robert  Rehme 	3	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Kris  Wiseman  McIntyre 	3	 ['  Lost    in    Space  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Stan  Chervin 	1	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Michael  Lewis 	1.5	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Elizabeth  W.  Scott 	1	['Moneyball']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Gary  Ross 	3.0	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Allen  Alsobrook 	3.0	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Andy  Borowitz 	3	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Susan  Borowitz 	3	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Bob  Degus 	3	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Edward  Lynn 	3	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Allison  Thomas 	3.0	['Pleasantville']	1	3.0
 Michael  De  Luca 	1.793103448275862	 Cory  Goodman 	1	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Min-Woo  Hyung 	1	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Steve  Galloway 	1	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Stuart  J.  Levy 	1	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 Mitchell  Peck 	1	['Priest']	1	1.0
 Michael  De  Luca 	1.793103448275862	 David  Self 	1.25	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Stephanie  Austin 	1.0	 ['  The    Long    Kiss    Goodnight  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Peter  O.  Almond 	2.0	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Geena  Davis 	1	 ['  The    Long    Kiss    Goodnight  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Graham  Gordy 	1	 ['  The    Love    Guru  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Marco  Schnabel 	1	 ['  The    Love    Guru  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Kevin  Costner 	0.75	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Brian  Gatewood 	3	 ['  The    Sitter  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Alessandro  Tanaka 	3	 ['  The    Sitter  '] 	1	3.0
 Michael  De  Luca 	1.793103448275862	 Ernest  R.  May 	1	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Philip  D.  Zelikow 	1	 ['  Thirteen    days  '] 	1	1.0
 Michael  De  Luca 	1.793103448275862	 Mary  Montiforte 	1	 ['  Thirteen    days  '] 	1	1.0
 Ryan  Kavanaugh 	1.9761904761904763	 Brett  Ratner 	2.176470588235294	 ['Catfish',  '  Mirror    Mirror  ',  '21'] 	3	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 Kevin  Spacey 	1.0	['21']	1	3.0
 Ryan  Kavanaugh 	1.9761904761904763	 Brian  Helgeland 	1.5	 ['  The    Taking    of    Pelham    123  ',  '  Robin    Hood  '] 	2	1.5
 Ryan  Kavanaugh 	1.9761904761904763	 Bobby  Cohen 	2.0714285714285716	 ['  Cowboys    &    Aliens  '] 	1	1.0
 Ryan  Kavanaugh 	1.9761904761904763	 Bob  Weinstein 	2.3478260869565206	 ['Nine',  '  The    Fighter  '] 	2	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 Harvey  Weinstein 	2.347368421052631	 ['Nine',  '  The    Fighter  '] 	2	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 Mark  Canton 	1.7777777777777777	 ['Immortals',  '  A    Perfect    Getaway  '] 	2	2.5
 Ryan  Kavanaugh 	1.9761904761904763	 Craig  J.  Flores 	1.2	['Immortals']	1	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 Bernie  Goldmann 	1.5	 ['  Mirror    Mirror  '] 	1	3.0
 Ryan  Kavanaugh 	1.9761904761904763	 Gianni  Nunnari 	1.1111111111111112	['Immortals']	1	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 Lorenzo  di  Bonaventura 	2.210526315789474	['Salt']	1	3.0
 Ryan  Kavanaugh 	1.9761904761904763	 Karen  McCullah 	2.625	 ['  The    Ugly    Truth  '] 	1	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 Kirsten  Smith 	2.6666666666666665	 ['  The    Ugly    Truth  '] 	1	2.0
 Ryan  Kavanaugh 	1.9761904761904763	 John  Ridley 	2.5	 ['  Out    of    the    Furnace  '] 	1	1.0
 Ryan  Kavanaugh 	1.9761904761904763	 Burr  Steers 	2.2	 ['  Charlie    St.    Cloud  '] 	1	1.0
