person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Stan  Lee 	1.8666666666666667	 Alvin  Sargent 	2.0	 ['  Spider-Man    3  ',  '  The    Amazing    Spider-Man  ',  '  Spider-Man    2  '] 	3	1.6666666666666667
 Stan  Lee 	1.8666666666666667	 Bryan  Singer 	1.4761904761904763	 ['  X-Men    Origins:    Wolverine  ',  '  X-Men:    Days    of    Future    Past  ',  'X-Men',  '  X-Men:    First    Class  ',  '  X2    (X-Men    2)  '] 	5	2.2
 Stan  Lee 	1.8666666666666667	 Jon  Favreau 	1.7333333333333334	 ['  Iron    Man  ',  '  The    Avengers  ',  '  Iron    Man    2  ',  '  Iron    Man    3  ',  '  Avengers:    Age    of    Ultron  '] 	5	2.4
 Stan  Lee 	1.8666666666666667	 David  S.  Goyer 	1.4285714285714286	 ['  Ghost    Rider:    Spirit    of    Vengeance  ',  'Blade',  '  Blade    II  '] 	3	0.6666666666666666
 Stan  Lee 	1.8666666666666667	 Christopher  Markus 	2.4285714285714284	 ['  Thor:    The    Dark    World  ',  '  Captain    America:    The    Winter    Soldier  ',  '  Captain    America:    The    First    Avenger  '] 	3	2.3333333333333335
 Stan  Lee 	1.8666666666666667	 Stephen  McFeely 	2.4285714285714284	 ['  Thor:    The    Dark    World  ',  '  Captain    America:    The    Winter    Soldier  ',  '  Captain    America:    The    First    Avenger  '] 	3	2.3333333333333335
 Stan  Lee 	1.8666666666666667	 Matthew  Vaughn 	1.9523809523809523	 ['  X-Men:    First    Class  ',  '  X-Men:    Days    of    Future    Past  ',  '  Fantastic    Four  '] 	3	1.3333333333333333
 Stan  Lee 	1.8666666666666667	 Don  Payne 	3.0	 ['Thor',  '  Fantastic    Four:    Rise    of    the    Silver    Surfer  ',  '  Thor:    The    Dark    World  '] 	3	3.0
 Stan  Lee 	1.8666666666666667	 Zak  Penn 	2.2	 ['  The    Avengers  ',  '  The    Incredible    Hulk  ',  '  X-Men:    The    Last    Stand  ',  '  X2    (X-Men    2)  '] 	4	2.0
 Steve  Ditko 	1.4	 Alvin  Sargent 	2.0	 ['  Spider-Man    3  ',  '  The    Amazing    Spider-Man  ',  '  Spider-Man    2  '] 	3	1.6666666666666667
 Will  Ferrell 	1.8571428571428572	 Adam  McKay 	1.6818181818181819	 ['  Anchorman:    The    Legend    of    Ron    Burgundy  ',  '  The    Other    Guys  ',  '  Hansel    &    Gretel:    Witch    Hunters  ',  '  Anchorman    2:    The    Legend    Continues  ',  '  Get    Hard  ',  '  Step    Brothers  ',  'Tammy',  '  The    Campaign  ',  '  Welcome    to    Me  ',  'Bachelorette',  "  Tim    and    Eric's    Billion    Dollar    Movie  "] 	11	1.9090909090909092
 Will  Ferrell 	1.8571428571428572	 Judd  Apatow 	2.4642857142857144	 ['  Anchorman:    The    Legend    of    Ron    Burgundy  ',  '  Anchorman    2:    The    Legend    Continues  ',  '  Step    Brothers  '] 	3	2.3333333333333335
 Will  Ferrell 	1.8571428571428572	 Chris  Henchy 	1.3333333333333333	 ['  The    Other    Guys  ',  '  Hansel    &    Gretel:    Witch    Hunters  ',  '  Get    Hard  ',  'Tammy',  '  The    Campaign  ',  'Bachelorette',  "  Tim    and    Eric's    Billion    Dollar    Movie  "] 	7	1.5714285714285714
 Adam  McKay 	1.6818181818181819	 Judd  Apatow 	2.4642857142857144	 ['  Anchorman:    The    Legend    of    Ron    Burgundy  ',  '  Anchorman    2:    The    Legend    Continues  ',  '  Step    Brothers  '] 	3	2.3333333333333335
 Adam  McKay 	1.6818181818181819	 Chris  Henchy 	1.3333333333333333	 ['  The    Other    Guys  ',  '  Hansel    &    Gretel:    Witch    Hunters  ',  '  Get    Hard  ',  'Tammy',  '  The    Campaign  ',  'Bachelorette',  "  Tim    and    Eric's    Billion    Dollar    Movie  "] 	7	1.5714285714285714
 Judd  Apatow 	2.4642857142857144	 Jason  Segel 	2.0	 ['  Forgetting    Sarah    Marshall  ',  '  Get    Him    To    The    Greek  ',  '  The    Five-Year    Engagement  '] 	3	2.3333333333333335
 Judd  Apatow 	2.4642857142857144	 Nicholas  Stoller 	1.8571428571428572	 ['  Forgetting    Sarah    Marshall  ',  '  Get    Him    To    The    Greek  ',  '  The    Five-Year    Engagement  ',  '  Fun    with    Dick    and    Jane  '] 	4	2.5
 David  Koepp 	1.588235294117647	 Steven  Spielberg 	1.76	 ['  The    Lost    World:    Jurassic    Park  ',  '  Indiana    Jones    and    the    Kingdom    of    the    Crystal    Skull  ',  '  War    of    the    Worlds  '] 	3	2.3333333333333335
 David  Koepp 	1.588235294117647	 John  Kamps 	1.75	 ['  Premium    Rush  ',  '  Zathura:    A    Space    Adventure  ',  '  Ghost    Town  '] 	3	1.3333333333333333
 James  Wan 	2.466666666666667	 Oren  Peli 	2.5	 ['Insidious',  '  Insidious:    Chapter    3  ',  '  Insidious:    Chapter    2  '] 	3	2.6666666666666665
 James  Wan 	2.466666666666667	 Leigh  Whannell 	2.3846153846153846	 ['  Dead    Silence  ',  'Insidious',  'Saw',  '  Saw    II  ',  '  Insidious:    Chapter    2  ',  '  Saw    III  ',  '  Insidious:    Chapter    3  ',  '  Saw    IV  '] 	8	2.5
 James  Wan 	2.466666666666667	 Darren  Lynn  Bousman 	3.0	 ['  Saw    IV  ',  '  Saw    III  ',  '  Saw    II  '] 	3	3.0
 Edgar  Wright 	2.2666666666666666	 Joe  Cornish 	2.25	 ['  Attack    the    Block  ',  'Ant-Man',  '  The    Adventures    of    Tintin  '] 	3	2.0
 Edgar  Wright 	2.2666666666666666	 Simon  Pegg 	2.2	 ['  Shaun    of    the    Dead  ',  '  Hot    Fuzz  ',  "  The    World's    End  "] 	3	2.0
 Larry  Lieber 	2.8	 Jack  Kirby 	2.2	 ['Thor',  'Ant-Man',  '  Iron    Man    2  ',  '  Thor:    The    Dark    World  ',  '  Iron    Man    3  '] 	5	2.8
 Jack  Kirby 	2.2	 Jon  Favreau 	1.7333333333333334	 ['  Iron    Man    3  ',  '  Iron    Man    2  ',  '  Avengers:    Age    of    Ultron  '] 	3	3.0
 Jack  Kirby 	2.2	 Christopher  Markus 	2.4285714285714284	 ['  Thor:    The    Dark    World  ',  '  Captain    America:    The    Winter    Soldier  ',  '  Captain    America:    The    First    Avenger  '] 	3	2.3333333333333335
